startTime,endTime,latency
1708422964517,1708422964531,14
1708422964531,1708422964542,11
1708422964542,1708422964556,14
1708422964556,1708422964570,14
1708422964570,1708422964585,15
1708422964585,1708422964599,14
1708422964599,1708422964613,14
1708422964613,1708422964628,15
1708422964628,1708422964642,14
1708422964642,1708422964656,14
1708422964656,1708422964670,14
1708422964670,1708422964683,13
1708422964683,1708422964697,14
1708422964697,1708422964712,15
1708422964712,1708422964726,14
1708422964726,1708422964740,14
1708422964740,1708422964753,13
1708422964753,1708422964766,13
1708422964766,1708422964780,14
1708422964780,1708422964794,14
1708422964794,1708422964809,15
1708422964809,1708422964823,14
1708422964823,1708422964837,14
1708422964837,1708422964850,13
1708422964850,1708422964865,15
1708422964865,1708422964880,15
1708422964880,1708422964893,13
1708422964893,1708422964908,15
1708422964908,1708422964923,15
1708422964923,1708422964935,12
1708422964935,1708422964948,13
1708422964948,1708422964963,15
1708422964963,1708422964978,15
1708422964978,1708422964991,13
1708422964991,1708422965005,14
1708422965005,1708422965018,13
1708422965018,1708422965032,14
1708422965032,1708422965046,14
1708422965046,1708422965060,14
1708422965060,1708422965075,15
1708422965075,1708422965089,14
1708422965089,1708422965102,13
1708422965102,1708422965116,14
1708422965116,1708422965129,13
1708422965129,1708422965144,15
1708422965144,1708422965158,14
1708422965158,1708422965171,13
1708422965171,1708422965186,15
1708422965186,1708422965201,15
1708422965201,1708422965215,14
1708422965215,1708422965229,14
1708422965229,1708422965243,14
1708422965243,1708422965257,14
1708422965257,1708422965271,14
1708422965271,1708422965285,14
1708422965285,1708422965300,15
1708422965300,1708422965313,13
1708422965313,1708422965328,15
1708422965328,1708422965341,13
1708422965341,1708422965354,13
1708422965354,1708422965368,14
1708422965368,1708422965381,13
1708422965381,1708422965395,14
1708422965395,1708422965409,14
1708422965409,1708422965423,14
1708422965423,1708422965437,14
1708422965437,1708422965451,14
1708422965451,1708422965466,15
1708422965466,1708422965481,15
1708422965481,1708422965492,11
1708422965492,1708422965507,15
1708422965507,1708422965521,14
1708422965521,1708422965536,15
1708422965536,1708422965550,14
1708422965550,1708422965564,14
1708422965564,1708422965577,13
1708422965577,1708422965591,14
1708422965591,1708422965605,14
1708422965605,1708422965618,13
1708422965618,1708422965631,13
1708422965631,1708422965645,14
1708422965645,1708422965659,14
1708422965659,1708422965672,13
1708422965672,1708422965688,16
1708422965688,1708422965703,15
1708422965703,1708422965717,14
1708422965717,1708422965732,15
1708422965732,1708422965745,13
1708422965745,1708422965758,13
1708422965758,1708422965773,15
1708422965773,1708422965787,14
1708422965788,1708422965803,15
1708422965803,1708422965816,13
1708422965816,1708422965831,15
1708422965831,1708422965846,15
1708422965846,1708422965861,15
1708422965861,1708422965874,13
1708422965874,1708422965887,13
1708422965887,1708422965902,15
1708422965902,1708422965918,16
1708422965918,1708422965932,14
1708422965932,1708422965947,15
